series_id,year,period,value,period_name
LNS11000000,2024,M10,168479.0,October
LNS11000000,2024,M09,168699.0,September
LNS11000000,2024,M08,168549.0,August
LNS11000000,2024,M07,168429.0,July
LNS11000000,2024,M06,168009.0,June
LNS11000000,2024,M05,167732.0,May
LNS11000000,2024,M04,167982.0,April
LNS11000000,2024,M03,167895.0,March
LNS11000000,2024,M02,167426.0,February
LNS11000000,2024,M01,167276.0,January
LNS11000000,2023,M12,167451.0,December
LNS11000000,2023,M11,168127.0,November
LNS11000000,2023,M10,167723.0,October
LNS11000000,2023,M09,167897.0,September
LNS11000000,2023,M08,167840.0,August
LNS11000000,2023,M07,167113.0,July
LNS11000000,2023,M06,167000.0,June
LNS11000000,2023,M05,166823.0,May
LNS11000000,2023,M04,166678.0,April
LNS11000000,2023,M03,166690.0,March
LNS11000000,2023,M02,166263.0,February
LNS11000000,2023,M01,165871.0,January
LNS11000000,2022,M12,164998.0,December
LNS11000000,2022,M11,164441.0,November
LNS11000000,2022,M10,164679.0,October
LNS11000000,2022,M09,164649.0,September
LNS11000000,2022,M08,164741.0,August
LNS11000000,2022,M07,164065.0,July
LNS11000000,2022,M06,164100.0,June
LNS11000000,2022,M05,164280.0,May
LNS11000000,2022,M04,163922.0,April
LNS11000000,2022,M03,164212.0,March
LNS11000000,2022,M02,163807.0,February
LNS11000000,2022,M01,163615.0,January
LNS11000000,2021,M12,162429.0,December
LNS11000000,2021,M11,162241.0,November
LNS11000000,2021,M10,161748.0,October
LNS11000000,2021,M09,161568.0,September
LNS11000000,2021,M08,161558.0,August
LNS11000000,2021,M07,161558.0,July
LNS11000000,2021,M06,161294.0,June
LNS11000000,2021,M05,160737.0,May
LNS11000000,2021,M04,160884.0,April
LNS11000000,2021,M03,160395.0,March
LNS11000000,2021,M02,160133.0,February
LNS11000000,2021,M01,160014.0,January
LNS11000000,2020,M12,160761.0,December
LNS11000000,2020,M11,160627.0,November
LNS11000000,2020,M10,160961.0,October
LNS11000000,2020,M09,160247.0,September
LNS11000000,2020,M08,160759.0,August
LNS11000000,2020,M07,160178.0,July
LNS11000000,2020,M06,160003.0,June
LNS11000000,2020,M05,158066.0,May
LNS11000000,2020,M04,156276.0,April
LNS11000000,2020,M03,162581.0,March
LNS11000000,2020,M02,164412.0,February
LNS11000000,2020,M01,164328.0,January
LNS12000000,2024,M10,161496.0,October
LNS12000000,2024,M09,161864.0,September
LNS12000000,2024,M08,161434.0,August
LNS12000000,2024,M07,161266.0,July
LNS12000000,2024,M06,161199.0,June
LNS12000000,2024,M05,161083.0,May
LNS12000000,2024,M04,161491.0,April
LNS12000000,2024,M03,161466.0,March
LNS12000000,2024,M02,160968.0,February
LNS12000000,2024,M01,161152.0,January
LNS12000000,2023,M12,161183.0,December
LNS12000000,2023,M11,161866.0,November
LNS12000000,2023,M10,161280.0,October
LNS12000000,2023,M09,161550.0,September
LNS12000000,2023,M08,161500.0,August
LNS12000000,2023,M07,161209.0,July
LNS12000000,2023,M06,161004.0,June
LNS12000000,2023,M05,160707.0,May
LNS12000000,2023,M04,160962.0,April
LNS12000000,2023,M03,160824.0,March
LNS12000000,2023,M02,160301.0,February
LNS12000000,2023,M01,160152.0,January
LNS12000000,2022,M12,159300.0,December
LNS12000000,2022,M11,158485.0,November
LNS12000000,2022,M10,158729.0,October
LNS12000000,2022,M09,158894.0,September
LNS12000000,2022,M08,158758.0,August
LNS12000000,2022,M07,158282.0,July
LNS12000000,2022,M06,158116.0,June
LNS12000000,2022,M05,158314.0,May
LNS12000000,2022,M04,157888.0,April
LNS12000000,2022,M03,158219.0,March
LNS12000000,2022,M02,157528.0,February
LNS12000000,2022,M01,157066.0,January
LNS12000000,2021,M12,156124.0,December
LNS12000000,2021,M11,155508.0,November
LNS12000000,2021,M10,154504.0,October
LNS12000000,2021,M09,153909.0,September
LNS12000000,2021,M08,153270.0,August
LNS12000000,2021,M07,152789.0,July
LNS12000000,2021,M06,151747.0,June
LNS12000000,2021,M05,151487.0,May
LNS12000000,2021,M04,151083.0,April
LNS12000000,2021,M03,150660.0,March
LNS12000000,2021,M02,150140.0,February
LNS12000000,2021,M01,149817.0,January
LNS12000000,2020,M12,149989.0,December
LNS12000000,2020,M11,149914.0,November
LNS12000000,2020,M10,149949.0,October
LNS12000000,2020,M09,147674.0,September
LNS12000000,2020,M08,147261.0,August
LNS12000000,2020,M07,143787.0,July
LNS12000000,2020,M06,142345.0,June
LNS12000000,2020,M05,137133.0,May
LNS12000000,2020,M04,133185.0,April
LNS12000000,2020,M03,155371.0,March
LNS12000000,2020,M02,158683.0,February
LNS12000000,2020,M01,158486.0,January
LNS13000000,2024,M10,6984.0,October
LNS13000000,2024,M09,6834.0,September
LNS13000000,2024,M08,7115.0,August
LNS13000000,2024,M07,7163.0,July
LNS13000000,2024,M06,6811.0,June
LNS13000000,2024,M05,6649.0,May
LNS13000000,2024,M04,6492.0,April
LNS13000000,2024,M03,6429.0,March
LNS13000000,2024,M02,6458.0,February
LNS13000000,2024,M01,6124.0,January
LNS13000000,2023,M12,6268.0,December
LNS13000000,2023,M11,6262.0,November
LNS13000000,2023,M10,6443.0,October
LNS13000000,2023,M09,6347.0,September
LNS13000000,2023,M08,6340.0,August
LNS13000000,2023,M07,5904.0,July
LNS13000000,2023,M06,5997.0,June
LNS13000000,2023,M05,6117.0,May
LNS13000000,2023,M04,5715.0,April
LNS13000000,2023,M03,5866.0,March
LNS13000000,2023,M02,5962.0,February
LNS13000000,2023,M01,5719.0,January
LNS13000000,2022,M12,5698.0,December
LNS13000000,2022,M11,5956.0,November
LNS13000000,2022,M10,5950.0,October
LNS13000000,2022,M09,5755.0,September
LNS13000000,2022,M08,5983.0,August
LNS13000000,2022,M07,5783.0,July
LNS13000000,2022,M06,5984.0,June
LNS13000000,2022,M05,5966.0,May
LNS13000000,2022,M04,6034.0,April
LNS13000000,2022,M03,5993.0,March
LNS13000000,2022,M02,6279.0,February
LNS13000000,2022,M01,6549.0,January
LNS13000000,2021,M12,6305.0,December
LNS13000000,2021,M11,6733.0,November
LNS13000000,2021,M10,7244.0,October
LNS13000000,2021,M09,7659.0,September
LNS13000000,2021,M08,8288.0,August
LNS13000000,2021,M07,8770.0,July
LNS13000000,2021,M06,9547.0,June
LNS13000000,2021,M05,9250.0,May
LNS13000000,2021,M04,9801.0,April
LNS13000000,2021,M03,9734.0,March
LNS13000000,2021,M02,9992.0,February
LNS13000000,2021,M01,10196.0,January
LNS13000000,2020,M12,10772.0,December
LNS13000000,2020,M11,10713.0,November
LNS13000000,2020,M10,11012.0,October
LNS13000000,2020,M09,12573.0,September
LNS13000000,2020,M08,13498.0,August
LNS13000000,2020,M07,16391.0,July
LNS13000000,2020,M06,17658.0,June
LNS13000000,2020,M05,20933.0,May
LNS13000000,2020,M04,23090.0,April
LNS13000000,2020,M03,7209.0,March
LNS13000000,2020,M02,5729.0,February
LNS13000000,2020,M01,5842.0,January
LNS14000000,2024,M10,4.1,October
LNS14000000,2024,M09,4.1,September
LNS14000000,2024,M08,4.2,August
LNS14000000,2024,M07,4.3,July
LNS14000000,2024,M06,4.1,June
LNS14000000,2024,M05,4.0,May
LNS14000000,2024,M04,3.9,April
LNS14000000,2024,M03,3.8,March
LNS14000000,2024,M02,3.9,February
LNS14000000,2024,M01,3.7,January
LNS14000000,2023,M12,3.7,December
LNS14000000,2023,M11,3.7,November
LNS14000000,2023,M10,3.8,October
LNS14000000,2023,M09,3.8,September
LNS14000000,2023,M08,3.8,August
LNS14000000,2023,M07,3.5,July
LNS14000000,2023,M06,3.6,June
LNS14000000,2023,M05,3.7,May
LNS14000000,2023,M04,3.4,April
LNS14000000,2023,M03,3.5,March
LNS14000000,2023,M02,3.6,February
LNS14000000,2023,M01,3.4,January
LNS14000000,2022,M12,3.5,December
LNS14000000,2022,M11,3.6,November
LNS14000000,2022,M10,3.6,October
LNS14000000,2022,M09,3.5,September
LNS14000000,2022,M08,3.6,August
LNS14000000,2022,M07,3.5,July
LNS14000000,2022,M06,3.6,June
LNS14000000,2022,M05,3.6,May
LNS14000000,2022,M04,3.7,April
LNS14000000,2022,M03,3.6,March
LNS14000000,2022,M02,3.8,February
LNS14000000,2022,M01,4.0,January
LNS14000000,2021,M12,3.9,December
LNS14000000,2021,M11,4.1,November
LNS14000000,2021,M10,4.5,October
LNS14000000,2021,M09,4.7,September
LNS14000000,2021,M08,5.1,August
LNS14000000,2021,M07,5.4,July
LNS14000000,2021,M06,5.9,June
LNS14000000,2021,M05,5.8,May
LNS14000000,2021,M04,6.1,April
LNS14000000,2021,M03,6.1,March
LNS14000000,2021,M02,6.2,February
LNS14000000,2021,M01,6.4,January
LNS14000000,2020,M12,6.7,December
LNS14000000,2020,M11,6.7,November
LNS14000000,2020,M10,6.8,October
LNS14000000,2020,M09,7.8,September
LNS14000000,2020,M08,8.4,August
LNS14000000,2020,M07,10.2,July
LNS14000000,2020,M06,11.0,June
LNS14000000,2020,M05,13.2,May
LNS14000000,2020,M04,14.8,April
LNS14000000,2020,M03,4.4,March
LNS14000000,2020,M02,3.5,February
LNS14000000,2020,M01,3.6,January
CES0000000001,2024,M10,159005.0,October
CES0000000001,2024,M09,158993.0,September
CES0000000001,2024,M08,158770.0,August
CES0000000001,2024,M07,158692.0,July
CES0000000001,2024,M06,158548.0,June
CES0000000001,2024,M05,158430.0,May
CES0000000001,2024,M04,158214.0,April
CES0000000001,2024,M03,158106.0,March
CES0000000001,2024,M02,157796.0,February
CES0000000001,2024,M01,157560.0,January
CES0000000001,2023,M12,157304.0,December
CES0000000001,2023,M11,157014.0,November
CES0000000001,2023,M10,156832.0,October
CES0000000001,2023,M09,156667.0,September
CES0000000001,2023,M08,156421.0,August
CES0000000001,2023,M07,156211.0,July
CES0000000001,2023,M06,156027.0,June
CES0000000001,2023,M05,155787.0,May
CES0000000001,2023,M04,155484.0,April
CES0000000001,2023,M03,155206.0,March
CES0000000001,2023,M02,155060.0,February
CES0000000001,2023,M01,154773.0,January
CES0000000001,2022,M12,154291.0,December
CES0000000001,2022,M11,154155.0,November
CES0000000001,2022,M10,153897.0,October
CES0000000001,2022,M09,153536.0,September
CES0000000001,2022,M08,153281.0,August
CES0000000001,2022,M07,153038.0,July
CES0000000001,2022,M06,152348.0,June
CES0000000001,2022,M05,151928.0,May
CES0000000001,2022,M04,151642.0,April
CES0000000001,2022,M03,151370.0,March
CES0000000001,2022,M02,150876.0,February
CES0000000001,2022,M01,150014.0,January
CES0000000001,2021,M12,149763.0,December
CES0000000001,2021,M11,149197.0,November
CES0000000001,2021,M10,148566.0,October
CES0000000001,2021,M09,147706.0,September
CES0000000001,2021,M08,147226.0,August
CES0000000001,2021,M07,146761.0,July
CES0000000001,2021,M06,145822.0,June
CES0000000001,2021,M05,145044.0,May
CES0000000001,2021,M04,144593.0,April
CES0000000001,2021,M03,144274.0,March
CES0000000001,2021,M02,143443.0,February
CES0000000001,2021,M01,142916.0,January
CES0000000001,2020,M12,142518.0,December
CES0000000001,2020,M11,142761.0,November
CES0000000001,2020,M10,142493.0,October
CES0000000001,2020,M09,141820.0,September
CES0000000001,2020,M08,140774.0,August
CES0000000001,2020,M07,139240.0,July
CES0000000001,2020,M06,137655.0,June
CES0000000001,2020,M05,133040.0,May
CES0000000001,2020,M04,130421.0,April
CES0000000001,2020,M03,150898.0,March
CES0000000001,2020,M02,152309.0,February
CES0000000001,2020,M01,152045.0,January
CES0500000002,2024,M10,34.3,October
CES0500000002,2024,M09,34.3,September
CES0500000002,2024,M08,34.3,August
CES0500000002,2024,M07,34.2,July
CES0500000002,2024,M06,34.3,June
CES0500000002,2024,M05,34.3,May
CES0500000002,2024,M04,34.3,April
CES0500000002,2024,M03,34.4,March
CES0500000002,2024,M02,34.3,February
CES0500000002,2024,M01,34.2,January
CES0500000002,2023,M12,34.4,December
CES0500000002,2023,M11,34.4,November
CES0500000002,2023,M10,34.3,October
CES0500000002,2023,M09,34.4,September
CES0500000002,2023,M08,34.4,August
CES0500000002,2023,M07,34.3,July
CES0500000002,2023,M06,34.4,June
CES0500000002,2023,M05,34.4,May
CES0500000002,2023,M04,34.3,April
CES0500000002,2023,M03,34.4,March
CES0500000002,2023,M02,34.5,February
CES0500000002,2023,M01,34.6,January
CES0500000002,2022,M12,34.4,December
CES0500000002,2022,M11,34.5,November
CES0500000002,2022,M10,34.6,October
CES0500000002,2022,M09,34.6,September
CES0500000002,2022,M08,34.5,August
CES0500000002,2022,M07,34.6,July
CES0500000002,2022,M06,34.6,June
CES0500000002,2022,M05,34.6,May
CES0500000002,2022,M04,34.7,April
CES0500000002,2022,M03,34.7,March
CES0500000002,2022,M02,34.7,February
CES0500000002,2022,M01,34.5,January
CES0500000002,2021,M12,34.8,December
CES0500000002,2021,M11,34.8,November
CES0500000002,2021,M10,34.7,October
CES0500000002,2021,M09,34.8,September
CES0500000002,2021,M08,34.7,August
CES0500000002,2021,M07,34.9,July
CES0500000002,2021,M06,34.8,June
CES0500000002,2021,M05,34.9,May
CES0500000002,2021,M04,35.0,April
CES0500000002,2021,M03,35.0,March
CES0500000002,2021,M02,34.6,February
CES0500000002,2021,M01,34.9,January
CES0500000002,2020,M12,34.8,December
CES0500000002,2020,M11,34.8,November
CES0500000002,2020,M10,34.9,October
CES0500000002,2020,M09,34.8,September
CES0500000002,2020,M08,34.7,August
CES0500000002,2020,M07,34.6,July
CES0500000002,2020,M06,34.6,June
CES0500000002,2020,M05,34.7,May
CES0500000002,2020,M04,34.2,April
CES0500000002,2020,M03,34.0,March
CES0500000002,2020,M02,34.3,February
CES0500000002,2020,M01,34.3,January
CES0500000007,2024,M10,33.7,October
CES0500000007,2024,M09,33.8,September
CES0500000007,2024,M08,33.7,August
CES0500000007,2024,M07,33.7,July
CES0500000007,2024,M06,33.7,June
CES0500000007,2024,M05,33.7,May
CES0500000007,2024,M04,33.7,April
CES0500000007,2024,M03,33.8,March
CES0500000007,2024,M02,33.7,February
CES0500000007,2024,M01,33.6,January
CES0500000007,2023,M12,33.8,December
CES0500000007,2023,M11,33.7,November
CES0500000007,2023,M10,33.8,October
CES0500000007,2023,M09,33.8,September
CES0500000007,2023,M08,33.8,August
CES0500000007,2023,M07,33.8,July
CES0500000007,2023,M06,33.8,June
CES0500000007,2023,M05,33.8,May
CES0500000007,2023,M04,33.8,April
CES0500000007,2023,M03,33.9,March
CES0500000007,2023,M02,33.9,February
CES0500000007,2023,M01,34.0,January
CES0500000007,2022,M12,33.8,December
CES0500000007,2022,M11,33.9,November
CES0500000007,2022,M10,34.0,October
CES0500000007,2022,M09,34.0,September
CES0500000007,2022,M08,34.0,August
CES0500000007,2022,M07,34.0,July
CES0500000007,2022,M06,34.1,June
CES0500000007,2022,M05,34.1,May
CES0500000007,2022,M04,34.1,April
CES0500000007,2022,M03,34.2,March
CES0500000007,2022,M02,34.2,February
CES0500000007,2022,M01,33.9,January
CES0500000007,2021,M12,34.2,December
CES0500000007,2021,M11,34.2,November
CES0500000007,2021,M10,34.2,October
CES0500000007,2021,M09,34.2,September
CES0500000007,2021,M08,34.2,August
CES0500000007,2021,M07,34.3,July
CES0500000007,2021,M06,34.3,June
CES0500000007,2021,M05,34.4,May
CES0500000007,2021,M04,34.4,April
CES0500000007,2021,M03,34.4,March
CES0500000007,2021,M02,34.0,February
CES0500000007,2021,M01,34.4,January
CES0500000007,2020,M12,34.2,December
CES0500000007,2020,M11,34.3,November
CES0500000007,2020,M10,34.2,October
CES0500000007,2020,M09,34.2,September
CES0500000007,2020,M08,34.2,August
CES0500000007,2020,M07,34.0,July
CES0500000007,2020,M06,34.0,June
CES0500000007,2020,M05,34.1,May
CES0500000007,2020,M04,33.5,April
CES0500000007,2020,M03,33.3,March
CES0500000007,2020,M02,33.6,February
CES0500000007,2020,M01,33.6,January
CES0500000003,2024,M10,35.46,October
CES0500000003,2024,M09,35.33,September
CES0500000003,2024,M08,35.22,August
CES0500000003,2024,M07,35.07,July
CES0500000003,2024,M06,34.99,June
CES0500000003,2024,M05,34.88,May
CES0500000003,2024,M04,34.75,April
CES0500000003,2024,M03,34.69,March
CES0500000003,2024,M02,34.56,February
CES0500000003,2024,M01,34.51,January
CES0500000003,2023,M12,34.34,December
CES0500000003,2023,M11,34.23,November
CES0500000003,2023,M10,34.1,October
CES0500000003,2023,M09,34.01,September
CES0500000003,2023,M08,33.91,August
CES0500000003,2023,M07,33.84,July
CES0500000003,2023,M06,33.7,June
CES0500000003,2023,M05,33.54,May
CES0500000003,2023,M04,33.44,April
CES0500000003,2023,M03,33.31,March
CES0500000003,2023,M02,33.15,February
CES0500000003,2023,M01,33.07,January
CES0500000003,2022,M12,32.94,December
CES0500000003,2022,M11,32.83,November
CES0500000003,2022,M10,32.7,October
CES0500000003,2022,M09,32.54,September
CES0500000003,2022,M08,32.44,August
CES0500000003,2022,M07,32.33,July
CES0500000003,2022,M06,32.2,June
CES0500000003,2022,M05,32.08,May
CES0500000003,2022,M04,31.95,April
CES0500000003,2022,M03,31.84,March
CES0500000003,2022,M02,31.65,February
CES0500000003,2022,M01,31.63,January
CES0500000003,2021,M12,31.4,December
CES0500000003,2021,M11,31.24,November
CES0500000003,2021,M10,31.15,October
CES0500000003,2021,M09,30.95,September
CES0500000003,2021,M08,30.77,August
CES0500000003,2021,M07,30.65,July
CES0500000003,2021,M06,30.54,June
CES0500000003,2021,M05,30.39,May
CES0500000003,2021,M04,30.21,April
CES0500000003,2021,M03,30.06,March
CES0500000003,2021,M02,30.06,February
CES0500000003,2021,M01,29.93,January
CES0500000003,2020,M12,29.9,December
CES0500000003,2020,M11,29.63,November
CES0500000003,2020,M10,29.54,October
CES0500000003,2020,M09,29.51,September
CES0500000003,2020,M08,29.48,August
CES0500000003,2020,M07,29.38,July
CES0500000003,2020,M06,29.38,June
CES0500000003,2020,M05,29.72,May
CES0500000003,2020,M04,30.01,April
CES0500000003,2020,M03,28.77,March
CES0500000003,2020,M02,28.55,February
CES0500000003,2020,M01,28.44,January
CES0500000008,2024,M10,30.48,October
CES0500000008,2024,M09,30.36,September
CES0500000008,2024,M08,30.26,August
CES0500000008,2024,M07,30.16,July
CES0500000008,2024,M06,30.07,June
CES0500000008,2024,M05,29.95,May
CES0500000008,2024,M04,29.83,April
CES0500000008,2024,M03,29.79,March
CES0500000008,2024,M02,29.7,February
CES0500000008,2024,M01,29.64,January
CES0500000008,2023,M12,29.51,December
CES0500000008,2023,M11,29.42,November
CES0500000008,2023,M10,29.29,October
CES0500000008,2023,M09,29.18,September
CES0500000008,2023,M08,29.09,August
CES0500000008,2023,M07,29.03,July
CES0500000008,2023,M06,28.9,June
CES0500000008,2023,M05,28.79,May
CES0500000008,2023,M04,28.68,April
CES0500000008,2023,M03,28.58,March
CES0500000008,2023,M02,28.42,February
CES0500000008,2023,M01,28.31,January
CES0500000008,2022,M12,28.23,December
CES0500000008,2022,M11,28.13,November
CES0500000008,2022,M10,28.0,October
CES0500000008,2022,M09,27.86,September
CES0500000008,2022,M08,27.75,August
CES0500000008,2022,M07,27.66,July
CES0500000008,2022,M06,27.53,June
CES0500000008,2022,M05,27.39,May
CES0500000008,2022,M04,27.27,April
CES0500000008,2022,M03,27.11,March
CES0500000008,2022,M02,26.97,February
CES0500000008,2022,M01,26.9,January
CES0500000008,2021,M12,26.76,December
CES0500000008,2021,M11,26.57,November
CES0500000008,2021,M10,26.46,October
CES0500000008,2021,M09,26.3,September
CES0500000008,2021,M08,26.12,August
CES0500000008,2021,M07,25.96,July
CES0500000008,2021,M06,25.81,June
CES0500000008,2021,M05,25.68,May
CES0500000008,2021,M04,25.51,April
CES0500000008,2021,M03,25.34,March
CES0500000008,2021,M02,25.25,February
